City,Temperature,Humidity,Cloudiness,WindSpeed,Latitude
jamestown,55.13,71,44,11.88,-33.21
caravelas,73.58,100,88,9.86,-17.73
rikitea,73.67,100,12,11.54,-23.12
saskylakh,67.46,71,0,6.89,71.97
ushuaia,32.0,100,0,8.05,-54.81
goya,55.76,96,100,20.04,-29.14
zunyi,75.65,88,92,3.04,27.73
punta arenas,33.8,100,0,6.93,-53.16
grand gaube,69.8,73,75,3.36,-20.01
provideniya,50.0,81,90,8.95,64.42
dunedin,42.89,95,0,3.04,-45.87
champaign,71.6,100,1,3.36,40.12
bredasdorp,37.4,93,64,2.24,-34.53
saint-ambroise,62.6,88,90,3.71,47.25
dingle,77.63,95,92,12.82,11.0
hithadhoo,78.8,100,44,1.48,-0.6
atuona,77.27,100,92,21.94,-9.8
busselton,63.14,91,44,26.64,-33.64
karatuzskoye,73.31,66,0,3.6,53.61
saldanha,52.25,89,0,2.86,41.42
bonfim,64.4,82,0,8.05,-20.33
tuktoyaktuk,41.0,100,90,19.46,69.44
bluff,72.32,20,0,4.76,-23.58
puerto ayora,69.44,100,20,10.36,-0.74
barrow,49.01,98,92,24.45,-38.31
redlands,102.2,21,20,8.05,34.06
tautira,78.8,69,75,10.29,-17.73
carnarvon,22.1,73,0,7.34,-30.97
sistranda,60.8,77,0,9.17,63.73
mount barker,59.0,62,20,14.99,-35.06
airai,78.8,59,92,1.97,-8.93
east london,50.0,100,0,13.87,-33.02
fortuna,78.8,94,20,2.37,38.18
georgetown,77.0,88,0,4.7,6.8
nouadhibou,68.0,94,75,4.7,20.93
begles,66.2,93,90,5.82,44.81
shirokiy,63.5,75,0,14.56,53.87
jimenez,73.67,100,12,2.82,8.54
paso de los toros,57.29,93,88,13.67,-32.81
tikhvin,63.41,71,0,3.49,59.64
hillerod,73.4,73,0,16.11,55.93
cape town,37.4,93,20,1.12,-33.93
qaanaaq,35.69,98,36,5.32,77.48
leh,48.38,74,64,1.03,34.16
esperance,78.8,94,75,3.36,10.24
castro,38.39,100,20,6.11,-42.48
amapa,73.4,100,75,4.7,15.09
san patricio,65.3,90,92,3.27,-26.98
livingstonia,68.27,79,0,1.52,-10.61
tiksi,61.25,68,0,12.88,71.64
hammerfest,48.2,87,75,19.46,70.66
sola,64.4,72,0,5.82,58.89
kalmunai,88.61,65,36,3.83,7.42
cherskiy,48.65,62,0,7.9,68.75
saint-philippe,75.2,88,20,8.05,45.36
ukiah,78.8,36,1,2.48,39.15
olinda,71.6,78,0,11.41,-2.03
ilulissat,57.2,50,92,16.11,69.22
clyde river,37.4,86,20,9.17,70.47
port elizabeth,78.8,100,1,4.7,39.31
banda aceh,84.83,67,64,7.11,5.56
nikolskoye,60.8,87,40,4.47,59.7
worland,75.2,28,1,8.05,44.02
vestmanna,48.2,100,68,6.93,62.16
tabas,90.59,21,0,2.86,33.6
north bend,59.0,93,90,10.29,43.41
wahpeton,69.8,88,1,9.17,46.27
jining,94.37,69,76,3.83,35.41
ribeira grande,72.14,100,64,6.22,38.52
seminole,82.4,41,1,5.82,32.72
faanui,77.45,100,92,16.91,-16.48
launceston,57.2,50,40,16.11,-41.43
port lincoln,58.19,86,80,13.33,-34.72
zhanaozen,95.36,15,48,6.33,43.35
arraial do cabo,61.25,100,0,1.3,-22.97
nanortalik,42.35,98,92,12.93,60.14
new norfolk,51.8,71,75,8.05,-42.78
bambous virieux,69.8,73,75,3.36,-20.34
pierre,75.2,53,1,10.29,44.37
tanda,88.97,85,32,4.27,31.67
lompoc,60.8,93,75,4.7,34.64
ancud,42.08,96,64,5.77,-41.87
lethem,77.72,73,0,9.01,3.38
kapaa,84.2,74,75,20.8,22.08
najran,89.6,19,0,11.41,17.54
avarua,68.0,94,90,10.29,-21.21
herzogenburg,69.8,83,0,10.29,48.28
kodiak,69.8,100,1,2.75,39.95
guangyuan,82.85,76,68,2.86,32.43
edgewater,82.4,94,1,3.36,28.99
mataura,44.69,90,12,4.61,-46.19
carutapera,78.17,85,12,9.86,-1.2
kavieng,80.78,100,36,2.26,-2.57
hobart,51.8,71,75,8.05,-42.88
aklavik,41.0,100,90,12.75,68.22
mercedes,53.15,96,88,15.05,-33.25
mabaruma,77.36,97,76,5.1,8.2
mastic beach,78.8,94,1,5.82,40.77
ouegoa,71.6,77,92,3.83,-20.34
norrtalje,68.0,93,0,5.82,59.76
ambilobe,73.76,62,20,5.84,-13.19
zima,69.71,79,12,4.32,53.93
klaksvik,48.2,100,48,6.93,62.23
qasigiannguit,57.2,58,92,19.46,68.82
sambava,72.5,100,92,12.82,-14.27
vaini,70.97,99,92,8.41,15.34
mega,63.41,76,36,5.73,4.06
pangai,75.2,60,20,8.05,-19.8
adelanto,100.4,15,1,3.36,34.58
luderitz,50.81,82,8,20.65,-26.65
kerman,82.4,23,0,4.7,30.29
constitucion,62.6,77,90,6.93,23.99
praia,64.4,82,0,8.05,-20.25
sur,88.61,80,8,2.37,22.57
riyadh,89.6,13,24,5.82,24.63
mantua,73.4,83,0,4.7,45.16
ankara,64.4,68,0,5.82,39.92
lebu,55.4,87,20,2.24,8.96
dikson,49.64,81,88,20.54,73.51
caninde de sao francisco,65.57,95,0,5.61,-9.66
roald,59.0,100,75,3.36,62.58
albany,73.4,88,90,2.19,42.65
chokurdakh,49.37,78,0,10.58,70.62
malanje,59.27,97,80,3.53,-9.54
thompson,59.0,100,75,5.82,55.74
tamandare,71.51,94,36,2.82,-8.28
manta,67.64,99,88,4.54,45.1
severo-kurilsk,56.21,89,48,4.27,50.68
ciudad bolivar,73.94,95,32,7.29,8.12
pisco,60.8,87,40,4.7,-13.71
naze,73.4,94,40,6.06,5.43
upernavik,42.8,86,92,7.23,72.79
acapulco,84.2,79,75,2.24,16.86
gonzalez,67.01,75,0,2.82,8.39
saint-pierre,68.0,82,20,16.11,48.95
padang,79.34,100,88,6.51,-0.92
tasiilaq,37.4,93,48,10.29,65.61
sumbawanga,55.4,71,5,4.7,-7.95
broken hill,63.86,52,0,12.03,-31.97
lagoa,68.0,68,0,9.17,37.14
oswego,73.4,94,1,6.55,37.17
prince george,64.4,59,1,3.2,53.92
erenhot,84.74,56,0,4.88,43.65
jandaia do sul,55.4,93,0,13.11,-23.6
keskin,72.23,41,8,6.06,39.67
velsk,55.67,79,56,7.63,61.07
kalaleh,84.11,81,0,4.09,37.38
ocos,73.4,94,40,6.93,14.51
xuddur,73.94,79,92,12.03,4.12
quatre cocos,69.8,73,75,3.36,-20.21
husavik,65.39,86,64,6.89,50.56
kavaratti,83.57,93,64,24.63,10.57
lima,54.77,73,8,1.3,-12.06
los pozos,76.64,91,8,8.57,8.45
vila velha,78.8,78,75,14.99,-3.71
puerto suarez,68.27,89,12,2.71,-18.96
kharan,94.82,24,0,5.21,28.58
hasaki,77.0,94,75,19.46,35.73
agapovka,71.6,68,75,6.71,53.3
hofn,48.92,96,8,22.62,64.25
general roca,42.8,60,0,3.36,-39.03
guerrero negro,74.03,64,0,2.71,27.97
victoria,87.8,74,75,5.82,5.28
butaritari,84.29,100,56,5.73,3.07
coihaique,37.4,93,68,5.82,-45.58
bar harbor,73.4,88,75,3.31,44.39
puri,90.14,42,12,5.1,-7.54
rawson,31.28,94,0,7.29,-43.3
axim,76.91,98,80,11.1,4.87
hilo,80.6,69,90,11.41,19.71
linares,24.89,73,0,2.53,-35.85
kodaikanal,78.17,56,68,4.38,10.24
carballo,60.8,100,20,2.53,43.21
yellowknife,60.8,72,75,4.7,62.45
goderich,65.12,94,80,4.76,43.74
talaya,70.25,73,0,5.88,55.79
hermanus,36.41,97,64,2.71,-34.42
honiara,87.8,62,20,11.41,-9.43
margate,51.8,71,75,8.05,-43.03
maine-soroa,74.39,88,8,9.08,13.21
alghero,69.8,94,0,2.24,40.56
mar del plata,30.47,100,0,7.11,-46.43
mount gambier,52.43,80,64,7.07,-37.83
serenje,61.34,53,0,9.01,-13.23
jaru,76.01,81,24,1.52,-10.43
matara,32.18,96,8,2.04,-13.74
luanda,69.8,83,75,3.36,-8.83
mimongo,64.67,88,8,2.3,-1.62
cabo san lucas,77.0,83,90,6.93,22.89
roma,75.2,83,0,4.7,41.89
frontera,81.14,89,64,10.13,18.53
mahebourg,69.8,73,75,3.36,-20.41
aleksinac,64.4,93,0,1.12,43.54
vardo,73.4,83,1,2.26,39.62
suruc,84.2,35,0,5.82,36.98
pevek,36.05,100,64,14.34,69.7
nirgua,70.97,97,88,2.82,10.15
bethel,57.2,71,75,16.11,60.79
lavrentiya,45.68,100,92,3.04,65.58
celestun,82.85,100,24,15.68,20.87
lazaro cardenas,80.6,36,40,4.7,28.39
mamallapuram,91.4,52,40,13.87,12.63
chicama,60.8,93,90,4.7,-7.84
ishigaki,87.8,74,40,8.05,24.34
haines junction,51.17,63,100,8.41,60.75
port-gentil,72.14,100,48,8.08,-0.72
sao filipe,74.66,100,92,8.3,14.9
srednekolymsk,54.95,59,12,5.32,67.46
port macquarie,66.2,80,0,5.82,-31.43
saint-georges,66.47,100,100,2.82,46.12
namatanai,81.59,100,64,8.08,-3.66
touros,75.11,90,92,11.59,-5.2
taksimo,57.65,84,92,1.25,56.36
yulara,71.6,19,0,9.17,-25.24
sarkand,88.25,34,0,6.62,45.41
hamilton,80.6,78,40,6.93,32.3
poum,59.0,82,0,5.82,41.28
santiago de cao,60.8,93,90,4.7,-7.96
dali,66.92,94,76,2.3,25.6
tuatapere,48.56,100,36,7.07,-46.13
eureka,55.4,100,90,4.05,40.8
kualakapuas,91.4,49,20,6.93,-3.01
nanakuli,82.4,69,90,9.17,21.39
barra patuca,79.43,100,76,11.36,15.8
gat,76.64,88,88,6.51,14.69
henties bay,49.91,100,0,7.85,-22.12
kargil,36.95,100,76,1.19,34.56
jumla,54.86,91,8,1.03,29.28
longyearbyen,46.4,70,40,3.36,78.22
sawakin,89.6,52,8,9.17,19.1
norman wells,60.8,82,90,5.82,65.28
juneau,59.0,93,90,10.29,58.3
batagay,69.26,55,0,4.27,67.65
laguna,80.51,80,64,0.25,27.52
pouembout,70.52,62,92,3.71,-21.12
chase,68.0,88,1,3.36,43.89
huercal-overa,73.67,98,0,6.11,37.39
sharkan,66.74,81,80,1.52,57.3
torbay,62.6,100,20,4.7,47.66
kiunga,77.09,90,92,2.75,-6.12
kidal,78.53,68,8,9.75,18.44
bambanglipuro,88.61,48,8,9.08,-7.95
camopi,74.39,90,24,2.08,3.17
komsomolskiy,52.61,99,92,14.38,67.55
bethlehem,75.2,100,1,2.98,40.62
tondano,95.0,47,20,9.17,1.3
santa maria,54.95,77,36,11.03,-29.69
chuy,53.51,86,8,16.4,-33.69
verkhnevilyuysk,69.71,68,56,4.54,63.45
fairbanks,59.0,58,90,6.93,64.84
cherrapunji,78.53,92,80,3.04,25.28
khatanga,56.21,88,68,5.84,71.98
shingu,84.2,66,40,20.8,33.72
aksarayskiy,82.4,51,0,6.71,46.79
mosquera,51.8,76,75,5.82,4.71
cidreira,54.23,96,0,11.92,-30.17
port alfred,55.13,97,64,18.41,-33.59
wanganui,54.14,93,92,17.13,-39.93
ponta do sol,53.96,81,32,2.75,-20.63
iqaluit,41.0,93,40,8.75,63.75
nevers,68.0,64,90,11.41,46.99
baruun-urt,76.91,70,8,2.08,46.68
crotone,80.24,100,0,1.52,39.09
namibe,64.22,100,0,8.3,-15.19
bilibino,55.49,56,8,3.04,68.06
meulaboh,82.31,100,20,3.76,4.14
zholymbet,80.51,75,0,6.78,51.74
bloomfield,68.0,100,20,4.7,40.75
sorland,57.2,82,40,1.12,67.67
saint-francois,68.0,88,20,3.36,46.42
kassala,73.22,82,88,11.54,15.45
kralupy nad vltavou,73.4,69,0,6.93,50.24
belyy yar,71.6,49,0,4.47,53.6
lere,74.57,91,80,5.28,9.66
lorengau,83.21,100,32,2.86,-2.02
poya,70.25,100,92,9.01,-21.35
salalah,77.0,94,90,8.05,17.01
isangel,72.77,100,0,10.54,-19.55
linjiang,77.09,83,76,3.2,41.81
pochutla,77.0,69,75,9.17,15.74
wellington,57.2,71,92,21.92,-41.29
thunder bay,55.4,100,5,5.5,48.41
dongsheng,97.07,65,0,4.61,29.72
cayenne,73.4,100,80,7.07,4.94
ogembo,62.51,78,0,3.6,-0.8
kolondieba,68.63,99,92,5.06,11.09
taltal,46.31,83,0,3.09,-25.41
gwanda,64.67,60,0,2.75,-20.94
denpasar,82.4,74,20,12.75,-8.65
lisakovsk,83.84,48,24,3.53,52.55
darhan,75.47,69,0,4.27,49.49
gilgit,62.51,24,36,0.69,35.92
nichinan,91.4,55,75,11.41,31.65
college,59.0,58,90,6.93,64.86
bontang,86.36,83,12,7.52,0.12
baykit,58.19,71,8,3.83,61.68
nova ushytsya,70.52,80,0,4.32,48.84
longfeng,82.4,78,20,2.24,31.05
nortelandia,63.41,85,0,2.48,-14.45
le moule,78.8,83,20,2.24,16.33
catalao,68.99,57,76,7.52,-18.17
mahajanga,68.0,88,0,4.7,-15.72
manakara,72.41,97,0,9.08,-22.14
areosa,60.8,100,20,2.24,41.72
muros,55.4,100,20,7.0,42.77
vestmannaeyjar,48.83,88,12,19.08,63.44
adrar,87.8,23,0,8.05,27.87
chiang khong,84.2,79,75,5.82,20.27
yar-sale,61.25,83,56,10.25,66.83
kamina,67.64,54,0,4.5,-8.74
broome,60.8,87,40,5.82,52.47
comodoro rivadavia,33.8,80,0,2.24,-45.87
valparaiso,71.6,100,75,1.97,41.47
havelock,80.6,94,1,6.93,34.88
madimba,75.2,100,75,1.12,4.42
majene,86.0,84,20,21.16,-3.54
los llanos de aridane,73.4,78,44,16.11,28.66
yenagoa,72.23,93,44,6.4,4.92
sao sebastiao,76.82,90,0,0.51,-3.15
jieshou,97.52,64,48,4.5,33.26
karratha,84.02,9,0,13.33,-20.74
tucumcari,84.2,37,1,6.93,35.17
pregradnoye,84.02,48,32,6.89,45.82
umea,51.8,100,90,13.33,63.83
balkhash,84.02,62,0,5.55,46.84
shenjiamen,84.2,93,0,6.89,29.96
kailua,82.4,69,90,9.17,21.39
houston,82.4,94,1,4.27,29.76
sampit,90.32,64,12,10.42,-2.54
herat,80.24,29,0,17.36,34.35
burnie,52.7,100,0,23.06,-41.05
tadine,71.87,94,24,8.23,-21.55
shemgang,74.12,87,88,1.86,27.22
nizwa,104.81,15,56,0.69,22.93
fort saint james,66.29,51,0,5.73,54.43
yerbogachen,62.6,50,36,5.88,61.28
ponferrada,51.08,95,68,2.3,42.55
sept-iles,62.6,88,20,8.05,50.2
cap malheureux,69.8,73,75,3.36,-19.98
soyo,66.74,96,92,2.19,-6.13
sokolskoye,60.62,100,88,9.8,57.14
rockledge,77.0,94,1,3.36,40.08
muzhi,63.05,89,8,14.83,65.4
myrhorod,69.71,71,0,7.63,49.97
taoudenni,71.78,80,24,7.56,22.68
toma,78.8,41,75,6.93,43.82
kahului,82.4,54,20,17.22,20.89
aden,84.74,85,44,27.76,12.79
cotoca,69.8,83,75,17.22,-17.75
omsukchan,53.51,87,76,5.39,62.53
suifenhe,65.66,92,92,3.31,44.39
inuvik,41.0,100,90,12.75,68.36
tamiahua,78.35,100,48,3.87,21.28
makinsk,78.26,71,36,4.09,52.63
oussouye,80.15,96,92,15.05,12.49
araruama,53.06,92,0,3.04,-22.87
pallasovka,84.11,45,0,8.3,50.04
aleksandrov gay,83.12,42,32,7.23,50.14
weinan,93.2,52,40,4.47,34.5
waterfoot,55.4,87,20,3.36,53.69
gushikawa,87.8,70,75,9.17,26.35
coquimbo,51.8,76,0,2.24,-29.95
ondangwa,55.58,49,0,4.32,-17.91
nishihara,77.0,94,90,19.46,35.74
saint george,69.8,68,20,5.82,39.45
orlik,62.15,51,0,2.3,52.51
narsaq,48.2,81,92,4.7,60.91
dalby,64.4,23,0,13.87,-27.18
saint-joseph,77.0,83,0,3.36,43.56
outjo,48.38,73,0,2.3,-20.11
baracoa,78.71,100,20,7.9,20.35
peterhead,59.0,62,20,14.99,-34.83
puerto rico,65.57,82,68,6.06,-26.82
murrieta,93.2,65,20,5.82,33.56
puerto del rosario,71.6,73,0,4.7,28.5
neiafu,75.2,60,40,5.82,-18.65
hoima,69.98,88,0,3.87,1.43
vilyuysk,73.22,59,8,5.84,63.75
paciran,93.2,42,8,6.29,-6.9
samarai,77.45,100,32,9.64,-10.62
evensk,52.25,100,92,9.08,61.92
walvis bay,54.59,100,0,13.56,-22.95
tomatlan,73.22,89,64,2.86,19.93
buala,83.93,75,8,6.4,-8.15
labuhan,84.29,69,64,3.87,-2.54
searcy,73.4,100,90,3.36,35.25
moorhead,71.6,83,1,9.17,46.87
itoman,87.8,70,75,9.17,26.12
atar,80.69,53,8,7.52,20.52
brigantine,78.8,88,90,5.82,39.41
portland,84.2,42,75,4.7,45.52
sarany,64.04,82,68,4.76,58.55
pingyin,90.95,83,24,4.05,36.28
pinhal novo,64.4,88,40,14.99,38.63
geraldton,55.4,93,5,4.7,49.72
ossora,58.64,96,92,2.71,59.24
kysyl-syr,71.24,56,68,4.54,63.9
turbat,93.56,51,0,8.12,26.0
souillac,64.4,88,90,1.12,45.6
matagami,68.27,97,80,3.04,9.67
xingyi,65.48,100,92,2.26,24.19
isa khel,90.59,32,0,4.27,36.67
snasa,59.0,82,0,10.29,64.25
byron bay,68.0,37,0,12.75,-28.65
maksatikha,63.95,70,0,11.81,57.8
avera,75.2,88,1,5.88,33.19
skibbereen,51.8,100,75,2.24,51.55
zhaoyuan,82.94,70,64,4.5,45.52
karimganj,84.47,91,44,4.32,24.86
kondopoga,51.8,100,24,4.47,62.21
ridgecrest,89.6,9,40,8.05,35.62
hualmay,51.71,93,32,2.37,-11.1
pontal do parana,50.0,87,75,8.05,-25.67
great falls,77.0,20,1,4.54,47.5
vallenar,39.65,59,0,3.49,-28.58
healdsburg,78.8,87,90,7.29,38.61
yakeshi,71.24,91,56,4.76,49.28
beloha,69.26,85,80,4.76,-25.17
leningradskiy,33.44,100,92,20.09,69.38
hambantota,81.41,92,20,18.19,6.12
abbeville,64.4,88,90,14.99,50.11
bonthe,75.11,94,92,7.07,7.53
xai-xai,72.59,87,0,22.55,-25.04
north platte,66.2,82,1,4.7,41.12
uruzgan,74.12,40,0,1.07,32.93
alta floresta,75.56,63,0,3.38,-9.87
tilichiki,58.37,82,100,6.22,60.47
doka,70.79,98,64,10.76,13.52
obihiro,66.2,72,75,6.93,42.92
whitehorse,59.0,62,90,14.99,60.72
nsoko,57.47,88,88,0.85,-27.07
ivdel,64.49,79,20,9.24,60.7
matay,80.87,64,0,11.25,28.42
santiago,39.2,80,0,3.36,-33.44
kungurtug,62.78,61,56,1.74,50.6
nizhniy tsasuchey,77.0,78,8,5.39,50.52
vanimo,82.04,100,56,12.44,-2.67
manaira,67.37,81,0,8.34,-7.71
dehloran,97.52,30,0,4.38,32.69
zaltan,80.87,96,0,2.04,32.95
camapua,66.92,80,68,8.75,-19.53
tura,82.22,99,64,2.71,25.52
zabol,93.2,21,0,47.2,31.03
batagay-alyta,66.92,45,0,4.09,67.8
zhangye,77.99,75,48,4.83,38.94
sibolga,80.42,74,64,3.04,1.74
bayonet point,82.4,94,20,4.88,28.33
fare,80.33,96,44,19.04,-16.7
medicine hat,71.6,43,1,4.7,50.04
morshansk,64.58,80,0,11.43,53.44
xian,60.8,100,20,2.53,42.76
tignere,61.34,90,56,2.71,7.37
fort-shevchenko,80.51,75,92,2.98,44.51
the pas,66.2,88,90,6.93,53.82
diffa,75.65,85,8,8.79,13.32
campbell river,80.6,34,40,5.82,50.02
warah,86.45,41,12,2.75,13.4
masvingo,64.31,54,0,3.27,-20.08
kabansk,73.4,40,20,11.18,52.06
nushki,94.82,27,12,7.52,29.55
xianyang,93.2,52,40,4.47,34.31
hagere selam,61.7,76,0,3.98,6.48
sao joao da barra,68.99,100,92,8.57,-21.64
llanes,50.45,89,0,1.7,43.42
kindu,76.01,79,20,3.27,-2.95
nanlong,85.64,95,48,3.76,31.35
shetpe,86.45,33,88,4.54,44.14
puerto cabello,70.97,96,68,2.08,10.47
nome,78.8,83,1,3.36,30.04
lata,67.73,94,64,1.97,30.78
lasa,82.4,78,75,2.24,34.92
alofi,69.8,83,0,9.17,-19.06
benguela,66.74,98,92,4.99,-12.58
soe,62.6,82,12,2.24,57.91
mountain home,82.4,19,1,5.82,43.13
maltahohe,27.41,72,0,2.3,-24.83
tessalit,79.07,63,8,10.87,20.2
karpathos,78.8,78,20,27.51,35.51
araouane,83.48,59,0,9.53,18.9
moron,70.97,97,88,2.82,10.49
mahibadhoo,81.05,100,36,15.57,3.78
kuruman,27.95,62,0,3.31,-27.46
idrinskoye,72.05,59,0,3.6,54.37
changji,95.99,70,32,6.4,32.07
svolvaer,57.2,76,75,3.36,68.23
kawalu,81.77,51,12,3.04,-7.38
port keats,87.62,32,0,11.54,-14.25
russell,41.0,75,0,3.36,-33.01
kruisfontein,54.68,86,32,17.58,-34.0
chalmette,80.6,88,1,5.77,29.94
kodinar,77.45,97,92,10.58,20.79
ostrovnoy,55.85,75,0,14.05,68.05
marsh harbour,82.76,100,0,7.9,26.54
katsuura,87.8,31,40,5.82,33.93
krasnyy chikoy,69.62,73,32,3.04,50.36
enshi,84.92,66,20,3.71,30.29
ouadda,66.29,100,92,5.28,8.07
katobu,85.55,78,80,4.61,-4.94
chara,73.4,60,20,6.93,39.42
orocue,71.51,97,12,4.99,4.79
